Data z Veřejné databáze ČSU,,,,,,,
,,,,,,,
,Jabloně – plocha sadů podle skupin odrůd,,,,,,
,Měřicí jednotka: hektar,,,,,Období: ,1. 5. 2017
,,,,,,Území: ,Česká republika
,,,,,,,
, ,,Plocha sadů,stáří výsadby,,,
,,,,do 4 let,5–14 let,15–24 let,25 a více let
,Jabloně,,"7,818.60",875.76,"2,327.25","1,598.32","3,017.27"
,skupiny odrůd,Boskoop Rouge,21.31,0.70,0.89,0.24,19.48
,,Braeburn,224.80,119.72,96.65,i.d.,i.d.
,,Cox Orange,7.44,0.64,0.58,0.52,5.70
,,Elstar,11.62,i.d.,-,i.d.,6.89
,,Fuji,28.85,25.26,1.31,2.27,-
,,Gala,467.19,123.33,280.46,60.58,2.83
,,Golden Delicious,"1,530.83",58.74,571.45,339.15,561.49
,,Granny Smith,7.88,i.d.,0.44,1.47,i.d.
,,Idared,"1,288.65",108.00,148.24,233.31,799.09
,,Jonagold/Jonagored,688.30,125.31,298.54,238.23,26.22
,,Pinova,0.55,0.05,0.09,0.42,-
,,Red Delicious,109.02,5.20,23.73,0.46,79.63
,,Shampion,456.07,36.47,168.28,84.58,166.73
,,ostatní,"2,976.09",272.08,736.59,624.23,"1,343.20"
,Kód: ZEMDSADY104/4,,,,,,
,,,,,,,
,,,,,,,
Zdroj:,"Český statistický úřad, Veřejná databáze",,Podmínky užívání dat ČSÚ,,,vygenerováno  22.04.2024 13:46,
